,Title,Poem,Poem_for_Human
27,A War Song to Englishmen,prepare prepare the iron helm of war bring forth the lots cast in the spacious orb th angel of fate turns them with mighty hands and casts them out upon the darken earth prepare prepare prepare your hearts for death cold hand prepare your souls for flight your bodies for the earth prepare your arms for glorious victory prepare your eyes to meet holy god prepare prepare whose fatal scroll is that methinks it is mine why sinks my heart why faltereth my tongue had three lives would die in such because and rise with ghosts over the well fought field prepare prepare the arrows of almighty god are drawn angels of death stand in the louring heavens thousands of souls must seek the realms of light and walk together on the clouds of heaven prepare prepare soldiers prepare our because is heaven because soldiers prepare be worthy of our because prepare to meet our fathers in the sky prepare troops that are to fall to day prepare prepare alfred shall smile and make his harp rejoice the norman william and the learnèd clerk and lion heart and black brow edward with his loyal queen shall rise and welcome us prepare prepare,"Prepare, prepare the iron helm of war,
Bring forth the lots, cast in the spacious orb;
Th' Angel of Fate turns them with mighty hands,
And casts them out upon the darken'd earth!
Prepare, prepare!

Prepare your hearts for Death's cold hand! prepare
Your souls for flight, your bodies for the earth;
Prepare your arms for glorious victory;
Prepare your eyes to meet a holy God!
Prepare, prepare!

Whose fatal scroll is that? Methinks 'tis mine!
Why sinks my heart, why faltereth my tongue?
Had I three lives, I'd die in such a cause,
And rise, with ghosts, over the well-fought field.
Prepare, prepare!

The arrows of Almighty God are drawn!
Angels of Death stand in the louring heavens!
Thousands of souls must seek the realms of light,
And walk together on the clouds of heaven!
Prepare, prepare!

Soldiers, prepare! Our cause is Heaven's cause;
Soldiers, prepare! Be worthy of our cause:
Prepare to meet our fathers in the sky:
Prepare, O troops, that are to fall to-day!
Prepare, prepare!

Alfred shall smile, and make his harp rejoice;
The Norman William, and the learnèd Clerk,
And Lion Heart, and black-brow'd Edward, with
His loyal queen, shall rise, and welcome us!
Prepare, prepare!
      "
28,The Land of Dreams,awake awake my little boy thou wast thy mother only joy why dost thou weep in thy gentle sleep awake thy father does thee keep what land is the land of dreams what are its mountains and what are its streams father saw my mother there among the lilies by waters fair among the lambs clothžd in white she walk with her thomas in sweet delight wept for joy like dove mourn when shall again return dear child also by pleasant streams have wander all night in the land of dreams but though calm and warm the waters wide could not get to the other side father father what do we here in this land of unbelief and fear the land of dreams is better far above the light of the morning star,"Awake, awake, my little boy!
Thou wast thy mother's only joy;
Why dost thou weep in thy gentle sleep?
Awake! thy father does thee keep.

""O, what land is the Land of Dreams?
What are its mountains, and what are its streams?
O father! I saw my mother there,
Among the lilies by waters fair.

""Among the lambs, clothŽd in white,
She walk'd with her Thomas in sweet delight.
I wept for joy, like a dove I mourn;
O! when shall I again return?""

Dear child, I also by pleasant streams
Have wander'd all night in the Land of Dreams;
But tho' calm and warm the waters wide,
I could not get to the other side.

""Father, O father! what do we here
In this land of unbelief and fear?
The Land of Dreams is better far
Above the light of the morning star.""     "
29,To Nobodaddy,why art thou silent invisible father of jealousy why dost thou hide thyself in clouds from every searching eye why darkness obscurity in all thy words laws that none dare eat the fruit but from the wily serpents jaws or is it because secrecy gains females loud applause,"Why art thou silent & invisible  
Father of jealousy 
Why dost thou hide thyself in clouds  
From every searching Eye

Why darkness & obscurity 
In all thy words & laws  
That none dare eat the fruit but from  
The wily serpents jaws  
Or is it because Secrecy
gains females loud applause     "
30,The Chimney - Sweeper,when my mother died was very young and my father sold me while yet my tongue could scarcely cry weep weep weep weep so your chimneys sweep and in soot sleep there is little tom dacre who cried when his head that curled like lamb back was shaved so said hush tom never mind it for when your head bare you know that the soot cannot spoil your white hair and so he was quiet and that very night as tom was sleeping he had such sight that thousands of sweepers dick joe ned and jack were all of them locked up in coffins of black and by came an angel who had bright key and he opened the coffins and let them all free then down green plain leaping laughing they run and wash in river and shine in the sun then naked and white all their bags left behind they rise upon clouds and sport in the wind and the angel told tom if he would be good boy he would have god for his father and never want joy and so tom awoke and we rose in the dark and got with our bags and our brushes to work though the morning was cold tom was happy and warm so if all do their duty they need not fear harm,"When my mother died I was very young,
 And my father sold me while yet my tongue
 Could scarcely cry ""Weep! weep! weep! weep!""
 So your chimneys I sweep, and in soot I sleep.

 There's little Tom Dacre, who cried when his head,
 That curled like a lamb's back, was shaved; so I said,
 ""Hush, Tom! never mind it, for, when your head's bare,
 You know that the soot cannot spoil your white hair.""

 And so he was quiet, and that very night,
 As Tom was a-sleeping, he had such a sight! —
 That thousands of sweepers, Dick, Joe, Ned, and Jack,
 Were all of them locked up in coffins of black.

 And by came an angel, who had a bright key,
 And he opened the coffins, and let them all free;
 Then down a green plain, leaping, laughing, they run,
 And wash in a river, and shine in the sun.

 Then naked and white, all their bags left behind,
 They rise upon clouds, and sport in the wind;
 And the Angel told Tom, if he'd be a good boy,
 He'd have God for his father, and never want joy.

 And so Tom awoke, and we rose in the dark,
 And got with our bags and our brushes to work.
 Though the morning was cold, Tom was happy and warm:
 So, if all do their duty, they need not fear harm.      "
31,The Blossom,merry merry sparrow under leaves so green happy blossom sees you swift as arrow seek your cradle narrow near my bosom pretty pretty robin under leaves so green happy blossom hears you sobbing sobbing pretty pretty robin near my bosom,"Merry, merry sparrow!
 Under leaves so green
 A happy blossom 
 Sees you, swift as arrow,
 Seek your cradle narrow,
 Near my bosom.
 Pretty, pretty robin!
 Under leaves so green
 A happy blossom
 Hears you sobbing, sobbing,
 Pretty, pretty robin,
 Near my bosom.     "
32,A Little Girl Lost,children of the future age reading this indignant page know that in former time love sweet love was thought crime in the age of gold free from winter cold youth and maiden bright to the holy light naked in the sunny beams delight once youthful pair filled with softest care met in garden bright where the holy light had just removed the curtains of the night then in rising day on the grass they play parents were afar strangers came not near and the maiden soon forgot her fear tired with kisses sweet they agree to meet when the silent sleep waves over heaven deep and the weary tired wanderers weep to her father white came the maiden bright but his loving look like the holy book all her tender limbs with terror shook ona pale and weak to thy father speak oh the trembling fear oh the dismal care that shakes the blossoms of my hoary hair,"Children of the future age, Reading this indignant page, Know that in a former time Love, sweet love, was thought a crime.  In the age of gold, Free from winter's cold, Youth and maiden bright, To the holy light, Naked in the sunny beams delight.  Once a youthful pair, Filled with softest care, Met in garden bright Where the holy light Had just removed the curtains of the night.  Then, in rising day, On the grass they play; Parents were afar, Strangers came not near, And the maiden soon forgot her fear.  Tired with kisses sweet, They agree to meet When the silent sleep Waves o'er heaven's deep, And the weary tired wanderers weep.  To her father white Came the maiden bright; But his loving look, Like the holy book All her tender limbs with terror shook.  ""Ona, pale and weak, To thy father speak! Oh the trembling fear! Oh the dismal care That shakes the blossoms of my hoary hair!""      "
33,The Clod and the Pebble,love seeketh not itself to please nor for itself hath any care but for another gives its ease and builds heaven in hell despair so sung little clod of clay trodden with the cattle feet but pebble of the brook warbled out these meters meet love seeketh only self to please to bind another to its delight joys in another loss of ease and builds hell in heaven despite,"""Love seeketh not itself to please,   
Nor for itself hath any care,  
But for another gives its ease, 
And builds a heaven in hell's despair.""

So sung a little clod of clay,
Trodden with the cattle's feet;
But a pebble of the brook 
Warbled out these meters meet: 

""Love seeketh only Self to please,
To bind another to its delight,
Joys in another's loss of ease,
And builds a hell in heaven's despite.""     "
34,To Spring,thou with dewy locks who lookest down thro the clear windows of the morning turn thine angel eyes upon our western isle which in full choir hails thy approach spring the hills tell each other and the listening valleys hear all our longing eyes are turned up to thy bright pavilions issue forth and let thy holy feet visit our clime come over the eastern hills and let our winds kiss thy perfumed garments let us taste thy morn and evening breath scatter thy pearls upon our love sick land that mourns for thee deck her forth with thy fair fingers pour thy soft kisses on her bosom and put thy golden crown upon her languished head whose modest tresses were bound up for thee,"O thou with dewy locks, who lookest down
Thro' the clear windows of the morning, turn
Thine angel eyes upon our western isle,
Which in full choir hails thy approach, O Spring!

The hills tell each other, and the listening
Valleys hear; all our longing eyes are turned
Up to thy bright pavilions: issue forth,
And let thy holy feet visit our clime.

Come o'er the eastern hills, and let our winds
Kiss thy perfumed garments; let us taste
Thy morn and evening breath; scatter thy pearls
Upon our love-sick land that mourns for thee.

O deck her forth with thy fair fingers; pour
Thy soft kisses on her bosom; and put
Thy golden crown upon her languished head,
Whose modest tresses were bound up for thee.     "
35,Spring,sound the flute now it is mute bird delight day and night nightingale in the dale lark in sky merrily merrily merrily to welcome in the year little boy full of joy little girl sweet and small cock does crow so do you merry voice infant noise merrily merrily to welcome in the year little lamb here am come and lick my white neck let me pull your soft wool let me kiss your soft face merrily merrily to welcome in the year,"Sound the flute!
      Now it's mute!
      Bird's delight,
      Day and night,
      Nightingale,
      In the dale,
      Lark in sky,—
      Merrily,
 Merrily merrily, to welcome in the year.

      Little boy,
      Full of joy;
      Little girl,
      Sweet and small;
      Cock does crow,
      So do you;
      Merry voice,
      Infant noise;
 Merrily, merrily, to welcome in the year.

      Little lamb,
      Here I am;
      Come and lick
      My white neck;
      Let me pull
      Your soft wool;
      Let me kiss
      Your soft face;
 Merrily, merrily, to welcome in the year.     "
36,The Human Abstract,pity would be no more if we did not make somebody poor and mercy no more could be if all were as happy as we and mutual fear brings peace till the selfish loves increase then cruelty knits snare and spreads his baits with care he sits down with holy fears and waters the grounds with tears then humility takes its root underneath his foot soon spreads the dismal shade of mystery over his head and the caterpillar and fly feed on the mystery and it bears the fruit of deceit ruddy and sweet to eat and the raven his nest has made in its thickest shade the gods of the earth and sea sought thro nature to find this tree but their search was all in vain there grows one in the human brain,"Pity would be no more
If we did not make somebody Poor;
And Mercy no more could be
If all were as happy as we.

And mutual fear brings peace,
Till the selfish loves increase:
Then Cruelty knits a snare,
And spreads his baits with care.

He sits down with holy fears,
And waters the grounds with tears;
Then Humility takes its root
Underneath his foot.

Soon spreads the dismal shade
Of Mystery over his head;
And the Caterpillar and Fly
Feed on the Mystery.

And it bears the fruit of Deceit,
Ruddy and sweet to eat;
And the Raven his nest has made
In its thickest shade.

The Gods of the earth and sea
Sought thro' Nature to find this Tree;
But their search was all in vain:
There grows one in the Human Brain.     "
37,I Heard an Angel,heard an angel singing when the day was springing mercy pity peace is the world release thus he sung all day over the new mown hay till the sun went down and haycocks looked brown heard devil curse over the heath and the furze mercy could be no more if there was nobody poor and pity no more could be if all were as happy as we at his curse the sun went down and the heavens gave frown down pour the heavy rain over the new reap grain… and miseries increase is mercy pity peace,"I heard an Angel singing 
     When the day was springing,
     ""Mercy, Pity, Peace
     Is the world's release.""
     Thus he sung all day
     Over the new mown hay,
     Till the sun went down
     And haycocks looked brown.
     I heard a Devil curse
    Over the heath and the furze,
    ""Mercy could be no more,
    If there was nobody poor,
    And pity no more could be,
    If all were as happy as we.""
    At his curse the sun went down,
    And the heavens gave a frown.
    Down pour'd the heavy rain
    Over the new reap'd grain…
    And Miseries' increase
    Is Mercy, Pity, Peace.     "
38,A Cradle Song,sweet dreams form shade over my lovely infants head sweet dreams of pleasant streams by happy silent moony beams sweet sleep with soft down weave thy brows an infant crown sweet sleep angel mild hover over my happy child sweet smiles in the night hover over my delight sweet smiles mothers smiles all the livelong night beguiles sweet moans dovelike sighs chase not slumber from thy eyes sweet moans sweeter smiles all the dovelike moans beguiles sleep sleep happy child all creation slept and smil sleep sleep happy sleep while over thee thy mother weep sweet babe in thy face holy image can trace sweet babe once like thee thy maker lay and wept for me wept for me for thee for all when he was an infant small thou his image ever see heavenly face that smiles on thee smiles on thee on me on all who became an infant small infant smiles are his own smiles heaven earth to peace beguiles,"Sweet dreams form a shade,
O'er my lovely infants head.
Sweet dreams of pleasant streams,
By happy silent moony beams

Sweet sleep with soft down.
Weave thy brows an infant crown.
Sweet sleep Angel mild,
Hover o'er my happy child.

Sweet smiles in the night,
Hover over my delight.
Sweet smiles Mothers smiles,
All the livelong night beguiles.

Sweet moans, dovelike sighs,
Chase not slumber from thy eyes,
Sweet moans, sweeter smiles,
All the dovelike moans beguiles.

Sleep sleep happy child,
All creation slept and smil'd.
Sleep sleep, happy sleep.
While o'er thee thy mother weep

Sweet babe in thy face,
Holy image I can trace.
Sweet babe once like thee.
Thy maker lay and wept for me

Wept for me for thee for all,
When he was an infant small.
Thou his image ever see.
Heavenly face that smiles on thee,

Smiles on thee on me on all,
Who became an infant small,
Infant smiles are His own smiles,
Heaven & earth to peace beguiles.
      "
39,To the Evening Star,thou fair haired angel of the evening now whilst the sun rests on the mountains light thy bright torch of love thy radiant crown put on and smile upon our evening bed smile on our loves and while thou drawest the blue curtains of the sky scatter thy silver dew on every flower that shuts its sweet eyes in timely sleep let thy west wing sleep on the lake speak silence with thy glimmering eyes and wash the dusk with silver soon full soon dost thou withdraw then the wolf rages wide and the lion glares through the dun forest the fleeces of our flocks are covered with thy sacred dew protect with them with thine influence,"Thou fair-haired angel of the evening,
Now, whilst the sun rests on the mountains, light
Thy bright torch of love; thy radiant crown
Put on, and smile upon our evening bed!
Smile on our loves, and while thou drawest the
Blue curtains of the sky, scatter thy silver dew
On every flower that shuts its sweet eyes
In timely sleep. Let thy west wing sleep on
The lake; speak silence with thy glimmering eyes,
And wash the dusk with silver. Soon, full soon,
Dost thou withdraw; then the wolf rages wide,
And the lion glares through the dun forest.
The fleeces of our flocks are covered with
Thy sacred dew; protect with them with thine influence.     "
40,To Autum,autumn laden with fruit and stain with the blood of the grape pass not but sit beneath my shady roof there thou may st rest and tune thy jolly voice to my fresh pipe and all the daughters of the year shall dance sing now the lusty song of fruits and flowers the narrow bud opens her beauties to the sun and love runs in her thrilling veins blossoms hang round the brows of morning and flourish down the bright cheek of modest eve till clust ring summer breaks forth into singing and feather clouds strew flowers round her head the spirits of the air live in the smells of fruit and joy with pinions light roves round the gardens or sits singing in the trees thus sang the jolly autumn as he sat then rose girded himself and over the bleak hills fled from our sight but left his golden load,"O Autumn, laden with fruit, and stain'd
With the blood of the grape, pass not, but sit
Beneath my shady roof; there thou may'st rest,
And tune thy jolly voice to my fresh pipe,
And all the daughters of the year shall dance!
Sing now the lusty song of fruits and flowers.

""The narrow bud opens her beauties to
The sun, and love runs in her thrilling veins;
Blossoms hang round the brows of Morning, and
Flourish down the bright cheek of modest Eve,
Till clust'ring Summer breaks forth into singing,
And feather'd clouds strew flowers round her head.

""The spirits of the air live in the smells
Of fruit; and Joy, with pinions light, roves round
The gardens, or sits singing in the trees.""
Thus sang the jolly Autumn as he sat,
Then rose, girded himself, and o'er the bleak
Hills fled from our sight; but left his golden load.      "
